group,Item_1,Item_2,Item_3,Item_4,Item_5
old,1,0,0,0,1
old,1,1,1,0,0
old,0,0,0,0,0
old,0,0,0,0,0
old,1,1,1,1,1
old,1,1,1,0,1
old,0,0,0,1,0
old,0,1,1,0,0
old,1,0,1,0,0
old,1,0,1,0,1
old,0,0,0,1,1
old,1,1,1,0,1
old,0,1,1,0,0
old,1,1,1,0,1
old,0,0,1,1,1
old,1,1,1,1,1
old,0,0,0,0,1
old,0,0,1,0,1
old,0,1,1,1,1
old,0,1,1,1,0
old,0,1,1,0,1
old,0,0,1,0,1
old,1,1,0,1,0
old,1,1,1,1,1
old,1,1,0,1,1
old,1,0,0,1,1
old,1,1,1,1,0
old,0,0,0,0,0
old,1,1,1,0,1
old,0,1,1,0,1
old,0,1,0,0,0
old,1,1,1,0,1
old,0,0,0,0,0
old,1,1,1,1,0
old,1,0,0,1,0
old,0,1,0,1,0
old,0,0,0,0,0
old,0,0,0,0,0
old,0,0,0,1,0
old,1,1,1,1,1
old,0,0,0,0,0
old,0,0,0,0,0
old,1,1,0,0,1
old,1,1,0,1,1
old,0,0,0,0,1
old,1,0,0,0,1
old,0,1,1,1,1
old,0,1,1,1,1
old,0,1,0,0,0
old,0,0,1,1,0
old,1,0,1,1,0
old,0,0,1,0,1
old,1,1,1,1,1
old,1,1,1,0,1
old,1,1,1,0,1
old,1,0,1,0,0
old,1,0,1,0,1
old,0,0,0,0,0
old,0,0,0,0,0
old,1,1,0,0,1
old,1,1,1,1,0
old,0,1,1,0,0
old,1,1,1,1,0
old,1,1,1,1,0
old,0,0,1,0,1
old,1,0,1,1,1
old,1,1,1,1,1
old,1,1,1,0,1
old,0,0,1,1,0
old,1,1,0,1,1
old,0,0,1,0,1
old,1,0,1,1,0
old,1,1,0,0,1
old,1,1,1,1,1
old,0,0,0,0,0
old,1,1,1,1,0
old,0,1,0,1,1
old,0,0,0,0,1
old,1,1,1,1,1
old,0,1,1,1,1
old,0,1,0,0,0
old,0,1,0,0,1
old,0,0,0,0,0
old,1,0,0,1,1
old,1,0,1,1,1
old,1,0,0,0,1
old,0,0,1,0,0
old,0,1,0,0,1
old,1,1,0,0,0
old,0,1,1,0,1
old,1,0,1,1,1
old,0,1,1,1,1
old,0,1,0,0,0
old,0,1,0,0,0
old,1,1,1,0,1
old,1,1,0,0,0
old,1,1,1,0,1
old,0,1,0,0,0
old,1,0,1,1,1
old,0,0,0,0,1
old,0,1,0,1,1
old,0,0,1,1,0
old,0,0,0,1,1
old,1,1,1,0,0
old,1,0,1,1,1
old,0,1,0,0,0
old,0,0,0,1,0
old,0,0,0,1,1
old,1,0,1,1,1
old,1,1,1,1,1
old,1,1,0,0,1
old,0,0,0,0,0
old,1,1,1,1,1
old,1,1,1,1,0
old,0,0,1,0,1
old,1,1,1,1,0
old,1,1,1,0,1
old,0,0,1,0,1
old,0,1,0,1,1
old,1,1,1,1,1
old,1,1,1,1,1
old,1,1,0,1,0
old,1,0,0,1,0
old,1,0,1,0,0
old,1,0,1,1,1
old,1,1,1,1,1
old,1,1,1,1,1
old,0,1,1,0,1
old,0,1,1,1,1
old,1,0,0,0,0
old,1,0,1,1,1
old,1,0,1,1,1
old,1,1,1,1,1
old,0,1,0,0,1
old,0,1,1,1,0
old,0,1,1,0,1
old,1,0,1,0,1
old,0,1,1,1,0
old,0,0,1,0,0
old,1,1,0,1,1
old,1,1,0,1,1
old,0,1,0,0,0
old,1,1,0,1,1
old,0,1,1,1,1
old,1,0,0,0,0
old,0,1,0,1,1
old,0,1,1,0,0
old,1,1,1,1,0
old,0,0,1,0,1
old,1,1,1,1,1
old,0,1,1,1,0
old,1,1,1,0,1
old,1,0,1,1,1
old,0,0,0,0,1
old,0,0,1,0,1
old,1,1,0,1,0
old,0,0,0,0,1
old,1,1,0,1,1
old,0,0,1,0,0
old,0,0,1,1,0
old,1,0,0,0,1
old,0,0,1,0,0
old,1,1,0,1,1
old,0,1,0,0,0
old,1,1,1,1,1
old,0,0,0,1,0
old,0,0,0,0,0
old,0,0,1,0,0
old,0,0,1,1,1
old,1,0,0,0,0
old,1,0,0,0,1
old,1,0,1,0,0
old,1,1,0,0,0
old,0,0,0,1,1
old,0,0,0,0,0
old,0,1,1,1,1
old,1,1,0,0,0
old,0,0,0,1,1
old,1,0,0,0,0
old,0,0,1,0,1
old,0,0,0,0,0
old,0,1,1,1,0
old,1,1,0,0,1
old,1,1,1,1,0
old,1,1,0,0,0
old,1,0,0,0,0
old,1,0,0,0,1
old,0,1,0,0,0
old,0,0,0,0,0
old,1,0,0,1,1
old,0,0,0,1,0
old,1,1,0,1,1
old,0,1,0,1,0
old,0,1,0,0,1
old,0,1,1,0,0
old,0,0,0,0,0
old,0,1,1,1,1
old,0,0,1,1,0
old,1,1,0,0,0
old,0,0,0,0,0
old,1,0,0,1,0
old,0,1,0,1,1
old,0,1,1,1,1
old,0,0,0,1,0
old,0,0,0,0,1
old,1,1,0,1,0
old,0,0,0,1,1
old,1,0,0,1,0
old,1,0,1,1,0
old,1,1,0,0,0
old,1,0,1,1,1
old,1,1,1,1,1
old,1,1,1,1,1
old,1,0,0,1,1
old,1,0,1,1,1
old,0,1,1,1,0
old,0,1,1,0,1
old,0,0,1,0,0
old,0,0,0,0,0
old,0,0,1,0,0
old,0,0,0,0,0
old,1,0,0,0,1
old,1,1,1,1,1
old,0,1,1,0,0
old,0,1,1,0,0
old,0,1,0,0,0
old,1,1,1,1,1
old,1,1,1,0,1
old,1,1,0,1,0
old,1,1,1,0,1
old,0,0,0,0,0
old,1,0,1,1,1
old,0,1,0,0,0
old,0,1,1,1,0
old,0,0,0,0,0
old,0,1,1,1,1
old,1,1,1,1,1
old,1,1,0,1,0
old,1,0,1,1,0
old,0,0,1,1,1
old,0,0,0,1,1
old,0,0,1,0,1
old,1,1,0,0,1
old,1,0,0,0,1
old,0,1,1,1,0
old,1,0,0,0,0
old,1,0,0,0,0
old,1,1,0,0,1
old,0,1,1,1,1
old,1,1,1,1,1
old,0,1,0,0,0
old,0,1,1,1,0
old,0,0,0,0,0
old,0,1,0,1,0
old,0,1,1,0,0
old,1,1,1,1,1
old,0,1,1,0,1
old,1,1,1,1,0
old,1,1,1,1,0
old,1,1,0,1,1
old,1,1,1,1,1
old,1,1,1,1,1
old,1,1,1,1,0
old,1,1,0,1,1
old,1,1,1,1,0
old,0,1,1,0,0
old,0,1,1,1,1
old,1,1,1,1,0
old,1,0,1,1,1
old,1,1,0,1,1
old,1,1,1,1,0
old,0,1,1,1,1
old,0,1,1,0,0
old,0,1,1,1,1
old,0,0,1,1,1
old,0,1,1,1,0
old,1,0,1,1,1
old,1,1,1,1,0
old,1,1,0,0,0
old,0,0,0,0,0
old,0,0,0,0,1
old,0,1,0,0,0
old,0,0,0,1,0
old,1,1,0,0,0
old,1,1,1,1,0
old,0,0,0,0,0
old,1,0,1,1,1
old,0,0,0,1,0
old,1,0,1,0,0
old,1,1,0,1,0
old,1,0,0,1,0
old,0,1,0,0,0
old,1,1,0,1,1
old,1,0,0,1,0
old,1,1,0,1,1
old,1,1,1,1,1
old,0,0,1,0,1
old,1,1,1,1,1
old,1,0,0,0,1
old,1,0,1,1,1
old,1,1,0,1,1
old,0,0,0,1,0
old,1,1,0,0,1
old,1,1,1,1,1
old,0,0,0,0,0
old,1,1,1,0,0
old,0,0,1,0,1
old,0,0,0,0,0
old,0,1,0,1,0
old,0,1,0,0,0
old,0,0,0,0,1
old,1,0,0,0,0
old,1,1,0,0,0
old,0,0,0,0,0
old,1,1,0,0,1
old,1,0,0,1,0
old,0,0,1,1,0
old,1,0,1,1,1
old,0,0,0,0,1
old,0,1,0,0,0
old,0,1,0,0,0
old,0,0,1,0,1
old,0,1,0,1,1
old,1,0,1,0,1
old,1,1,1,0,1
old,1,0,0,1,0
old,0,0,1,0,1
old,1,0,1,1,0
old,0,0,1,1,1
old,1,1,1,0,0
old,0,0,0,0,0
old,1,0,1,1,1
old,0,0,1,1,1
old,1,0,1,1,1
old,0,0,1,0,0
old,1,1,1,1,1
old,1,1,1,0,0
old,0,1,1,0,1
old,0,1,1,1,0
old,0,0,1,0,0
old,0,1,1,1,0
old,0,0,0,0,1
old,1,1,1,1,0
old,0,0,0,0,1
old,1,0,1,1,0
old,1,1,1,1,1
old,0,1,0,1,0
old,1,1,1,1,1
old,1,1,0,0,0
old,1,1,1,0,1
old,1,1,0,1,0
old,0,1,1,0,1
old,0,1,0,1,1
old,1,1,0,0,0
old,1,0,1,0,0
old,0,1,0,0,1
old,1,0,0,1,0
old,0,1,1,1,1
old,0,0,0,0,0
old,0,1,1,1,0
old,1,1,1,1,0
old,0,0,0,0,0
old,0,0,0,0,0
old,0,1,1,0,0
old,0,1,0,0,0
old,0,1,1,0,1
old,1,1,0,1,0
old,1,1,1,1,1
old,1,1,1,1,1
old,1,1,1,1,0
old,0,0,0,0,0
old,1,1,1,0,1
old,0,1,0,0,1
old,0,1,1,0,0
old,0,0,0,1,1
old,0,1,1,0,1
old,0,1,0,1,1
old,1,1,1,1,1
old,0,0,0,0,0
old,1,0,1,1,1
old,1,1,1,1,0
old,0,0,0,0,0
old,0,0,0,1,0
old,1,1,1,1,1
old,1,0,1,1,1
old,1,1,0,1,0
old,1,0,1,0,1
old,1,0,1,0,1
old,0,1,0,0,1
old,0,0,0,0,1
old,1,0,1,1,1
old,1,1,1,0,0
old,1,0,1,0,0
old,1,0,1,0,1
old,1,1,1,1,1
old,1,1,0,0,0
old,0,0,1,0,0
old,1,0,1,0,0
old,1,1,1,0,1
old,1,0,1,0,1
old,1,0,0,1,1
old,1,1,0,0,1
old,0,0,0,0,0
old,0,0,1,0,0
old,0,1,1,1,1
old,0,1,1,0,0
old,1,1,1,0,1
old,1,0,0,0,1
old,1,1,0,0,0
old,0,0,0,0,0
old,1,1,0,1,1
old,1,1,1,1,0
old,1,0,1,1,0
old,1,1,0,0,0
old,1,0,1,1,0
old,0,0,0,1,0
old,0,0,1,0,0
old,1,1,1,1,0
old,1,1,0,1,0
old,1,0,1,1,1
old,0,0,0,0,0
old,1,0,0,0,0
old,0,0,0,1,1
old,1,1,0,1,1
old,0,0,0,0,0
old,1,0,1,0,1
old,1,0,0,0,0
old,0,1,0,0,0
old,0,1,1,1,0
old,1,0,0,0,0
old,0,1,1,1,0
old,1,1,0,1,0
old,0,0,0,0,0
old,1,0,0,0,0
old,1,1,0,1,1
old,0,0,0,0,0
old,0,0,0,0,0
old,0,0,1,1,0
old,1,1,0,0,0
old,1,1,0,1,1
old,1,1,1,0,0
old,0,1,0,1,0
old,1,0,1,0,1
old,1,1,1,1,1
old,0,1,0,1,0
old,1,0,1,1,0
old,1,1,1,1,1
old,1,1,1,1,1
old,1,1,0,1,1
old,0,0,0,0,0
old,1,1,1,0,0
old,1,0,0,0,1
old,1,1,1,0,0
old,1,1,1,1,1
old,0,0,0,0,0
old,0,0,1,0,0
old,0,0,1,0,1
old,1,0,1,1,1
old,0,1,1,1,1
old,0,1,1,0,0
old,0,0,0,0,1
old,0,0,1,1,0
old,0,1,0,0,1
old,0,0,0,1,1
old,1,1,0,1,1
old,1,1,1,1,0
old,0,0,1,0,1
old,1,0,1,0,0
old,1,1,0,1,0
old,0,1,0,0,0
old,1,1,1,1,1
old,0,0,0,0,0
old,0,0,0,0,0
old,1,0,1,1,0
old,1,1,1,0,1
old,0,0,0,0,1
old,1,0,0,0,1
old,0,0,0,0,1
old,1,0,1,0,1
old,1,1,1,1,0
old,1,1,0,1,1
old,1,1,1,1,1
old,1,1,1,1,1
old,1,0,0,0,1
old,0,0,0,0,0
old,0,0,0,0,1
old,1,1,1,1,1
old,1,0,1,1,1
old,1,0,0,1,1
old,0,1,0,0,0
old,0,1,1,0,0
old,1,1,1,0,0
old,0,1,0,1,1
old,1,0,0,0,1
old,1,1,1,0,0
old,0,1,1,0,0
old,0,0,0,0,0
old,1,1,1,1,1
old,0,1,1,0,1
old,1,0,0,1,0
old,1,0,1,1,0
old,0,0,0,0,0
old,1,1,0,0,0
old,0,1,0,0,0
old,0,0,0,1,1
old,0,0,1,1,0
old,1,1,1,0,1
old,0,1,0,0,0
old,0,1,0,1,0
old,1,1,0,0,1
old,0,1,0,0,0
old,1,0,0,1,1
old,0,0,1,1,1
old,0,0,1,1,0
old,0,0,0,0,0
old,1,1,1,1,0
old,0,1,1,0,1
old,1,1,1,0,1
old,0,1,1,1,0
old,1,1,1,1,1
old,1,1,1,0,1
old,1,0,1,1,1
old,0,1,1,1,1
old,0,1,0,0,0
old,0,0,0,0,1
old,1,0,0,0,0
old,0,1,0,1,1
old,1,1,1,0,1
old,0,1,0,1,1
old,0,0,0,1,1
old,1,0,1,0,0
old,0,0,1,1,1
old,1,0,0,0,1
old,1,0,1,0,0
old,0,1,1,0,0
old,1,0,1,1,0
old,1,1,1,0,0
old,0,1,1,1,0
old,1,1,1,0,0
old,0,1,1,0,0
old,0,0,0,0,0
old,1,1,1,1,1
old,0,1,0,0,0
old,1,0,0,1,0
old,0,1,1,0,1
old,1,0,1,1,0
old,0,0,1,0,1
old,0,1,0,0,0
old,1,1,1,1,1
old,0,0,0,0,0
old,0,1,1,0,1
old,1,1,1,1,0
old,0,0,0,0,0
old,0,1,1,1,0
old,0,0,0,0,0
old,1,1,1,1,1
old,0,0,0,1,1
old,1,0,0,0,1
old,0,0,0,0,1
old,1,1,1,1,0
old,0,0,1,1,1
old,0,1,0,0,1
old,0,0,1,0,0
old,0,0,0,0,0
old,1,1,1,1,1
old,1,0,0,1,1
old,1,0,0,0,1
old,1,1,1,1,1
old,0,1,1,0,0
old,1,1,0,1,0
old,0,0,1,0,1
old,0,0,0,1,1
old,0,0,1,1,1
old,0,0,0,1,0
old,1,1,1,1,1
old,0,0,0,0,0
old,0,0,1,1,0
old,0,1,1,0,0
old,1,1,1,0,1
old,1,1,1,0,1
old,0,0,1,1,1
old,0,0,0,1,1
old,1,0,1,0,1
old,0,0,0,1,1
old,0,1,1,0,1
old,0,1,0,0,1
old,1,0,0,0,0
old,0,1,0,0,1
old,1,1,1,1,1
old,0,0,0,1,0
old,0,1,0,0,0
old,0,1,0,0,0
old,1,0,1,1,1
old,1,1,1,0,1
old,0,0,1,0,1
old,0,1,0,0,1
old,0,0,0,0,0
old,1,1,1,1,0
old,1,1,1,0,0
old,1,1,0,1,1
old,0,0,1,1,0
old,0,0,1,1,1
old,1,0,1,0,0
old,0,1,0,1,0
old,1,0,0,0,1
old,0,1,1,1,0
old,0,0,0,1,0
old,0,0,1,1,0
old,1,0,0,0,0
old,1,0,0,0,1
old,0,0,1,0,0
old,1,1,1,1,1
old,1,0,1,0,0
old,0,0,1,0,0
old,1,0,1,0,1
old,0,1,1,1,0
old,1,0,0,0,0
old,0,0,0,1,0
old,0,0,0,0,0
old,0,0,0,0,0
old,0,1,1,0,1
old,0,0,1,0,0
old,0,1,0,0,0
old,0,1,1,1,1
old,1,0,0,0,0
old,1,1,1,0,1
old,0,1,1,1,0
old,0,1,1,1,1
old,1,0,0,0,0
old,0,1,0,1,0
old,0,0,0,0,0
old,1,1,1,1,1
old,1,1,0,1,1
old,1,1,1,1,1
old,1,1,0,0,0
old,1,0,1,1,1
old,1,1,0,1,1
old,0,0,0,0,1
old,0,0,1,0,1
old,0,1,1,1,1
old,0,1,1,0,0
old,1,1,0,1,1
old,1,0,0,1,0
old,1,1,0,0,1
old,1,0,0,0,0
old,1,1,1,0,1
old,1,0,1,0,0
old,1,0,1,0,1
old,0,0,0,1,1
old,1,0,1,1,0
old,0,1,1,1,1
old,0,1,1,0,1
old,0,1,0,0,1
old,1,1,1,1,0
old,1,0,0,0,0
old,1,0,1,1,0
old,1,0,1,1,0
old,1,0,1,0,0
old,1,1,1,0,1
old,1,0,0,1,1
old,1,1,0,1,0
old,0,1,1,1,0
old,1,1,1,0,1
old,0,0,1,0,1
old,1,0,0,0,0
old,1,1,0,1,1
old,1,0,0,0,1
old,0,0,1,0,0
old,1,0,1,1,1
old,1,1,0,0,1
old,1,0,0,0,0
old,0,1,1,1,1
old,0,0,1,1,0
old,1,1,0,0,1
old,1,1,1,1,1
old,0,0,0,0,0
old,1,1,1,1,1
old,0,0,0,0,0
old,1,1,1,1,1
old,1,1,0,0,0
old,1,1,0,1,1
old,1,1,1,0,1
old,1,1,0,1,1
old,1,1,1,1,1
old,1,0,1,1,1
old,1,1,1,1,0
old,1,0,0,0,0
old,1,1,1,1,1
old,1,0,1,0,1
old,1,1,1,1,1
old,0,1,0,0,1
old,0,1,1,0,1
old,0,0,0,0,0
old,0,0,0,0,0
old,0,0,1,1,1
old,0,0,0,1,0
old,1,0,1,0,1
old,0,1,1,1,1
old,0,1,1,1,0
old,0,0,1,1,0
old,1,1,1,1,0
old,0,0,0,1,0
old,1,0,1,0,0
old,0,1,0,1,1
old,1,1,1,1,1
old,0,1,1,0,0
old,0,1,1,1,1
old,1,1,1,0,1
old,0,0,0,1,1
old,1,0,0,0,0
old,0,0,0,0,0
old,0,0,1,1,1
old,1,1,0,1,0
old,0,0,1,0,1
old,0,0,0,0,0
old,0,1,0,0,0
old,0,1,0,0,1
old,1,1,1,1,1
old,1,1,0,1,1
old,1,0,0,1,1
old,1,1,1,0,1
old,0,0,0,0,0
old,1,0,0,1,0
old,1,0,0,0,1
old,0,1,1,0,0
old,1,0,1,1,1
old,0,1,1,0,1
old,0,1,0,1,1
old,0,0,1,0,1
old,0,1,0,1,0
old,0,1,0,0,0
old,0,1,0,0,0
old,0,1,0,0,0
old,1,0,1,1,0
old,0,1,0,0,0
old,1,0,1,1,0
old,0,0,0,0,0
old,1,0,1,1,0
old,0,0,0,0,0
old,1,1,0,1,1
old,1,1,1,0,1
old,0,1,1,1,1
old,0,0,1,1,1
old,0,0,0,0,0
old,1,0,0,0,0
old,1,0,1,1,0
old,0,0,0,1,0
old,0,0,0,1,0
old,0,1,1,0,1
old,0,0,0,1,1
old,1,0,1,1,0
old,0,0,0,0,0
old,0,1,0,1,1
old,0,0,0,0,0
old,1,1,0,0,1
old,1,1,1,1,1
old,0,0,0,0,1
old,0,1,1,0,0
old,1,1,1,1,1
old,1,0,0,0,1
old,1,1,1,1,0
old,1,0,1,1,1
old,1,1,1,1,0
old,0,1,1,0,0
old,1,0,0,0,0
old,1,0,1,0,1
old,0,0,0,0,0
old,1,0,1,1,0
old,1,1,1,0,1
old,0,0,1,0,0
old,1,1,0,1,1
old,1,1,0,1,0
old,0,0,0,0,0
old,0,0,1,0,1
old,1,1,1,1,1
old,1,1,1,1,1
old,1,0,1,1,1
old,1,1,1,1,1
old,0,0,0,0,0
old,0,1,1,0,0
old,1,0,1,0,0
old,1,1,0,1,1
old,0,0,1,0,0
old,0,0,0,0,0
old,0,0,0,0,0
old,0,0,0,1,1
old,1,0,1,0,1
old,1,0,0,0,1
old,0,1,0,1,0
old,1,0,0,0,0
old,1,0,0,0,0
old,0,0,0,0,0
old,0,0,0,0,0
old,0,1,0,0,1
old,1,1,1,1,1
old,0,0,1,1,1
old,1,0,1,0,0
old,0,1,1,0,1
old,1,1,0,1,0
old,1,0,1,0,0
old,0,1,1,0,1
old,0,0,1,1,1
old,0,0,0,0,1
old,1,1,1,1,0
old,0,0,0,0,0
old,1,1,0,1,1
old,0,0,0,0,1
old,1,1,1,1,1
old,1,1,0,0,1
old,0,0,0,0,0
old,1,1,1,1,1
old,0,0,1,1,0
old,1,0,1,0,0
old,1,0,1,1,1
old,0,1,1,1,1
old,0,0,1,0,0
old,0,1,1,0,1
old,0,1,0,1,1
old,1,0,0,1,0
old,0,1,0,0,0
old,0,0,1,0,0
old,0,0,0,0,0
old,0,0,1,0,0
old,0,1,1,0,0
old,1,1,0,1,0
old,1,1,1,1,1
old,0,1,0,1,0
old,1,1,1,1,1
old,1,0,0,1,0
old,0,0,1,0,1
old,1,0,1,1,1
old,0,1,0,0,0
old,1,1,0,1,1
old,0,1,1,1,0
old,0,1,1,0,1
old,1,0,1,1,1
old,1,1,0,1,1
old,0,1,0,1,0
old,0,1,1,0,1
old,0,0,0,0,0
old,1,0,0,1,1
old,1,1,1,1,0
old,1,0,1,0,0
old,0,1,1,0,0
old,1,0,1,0,0
old,0,0,0,1,1
old,0,0,0,1,0
old,1,1,1,1,1
old,0,0,1,0,1
old,0,0,0,0,0
old,0,0,1,1,0
old,0,1,0,0,0
old,1,1,0,0,1
old,0,0,1,1,1
old,0,0,0,0,1
old,0,0,0,0,1
old,1,1,0,0,1
old,1,0,1,1,0
old,0,0,0,0,1
old,0,0,0,0,0
old,1,1,0,0,1
old,1,1,0,1,1
old,1,1,1,0,1
old,0,1,1,1,1
old,0,0,0,1,1
old,0,0,0,0,0
old,0,0,1,0,1
old,1,1,0,1,1
old,0,1,0,1,1
old,0,1,1,0,0
old,1,0,0,0,1
old,0,1,0,0,0
old,1,1,0,1,1
old,0,1,1,1,1
old,1,1,1,1,1
old,0,0,0,1,1
old,1,0,0,1,0
old,1,1,0,1,0
old,0,1,0,0,0
old,1,1,1,0,0
old,0,0,1,0,0
old,0,0,1,0,0
old,0,0,0,0,0
old,1,1,1,0,1
old,0,1,1,0,0
old,1,1,1,0,1
old,0,1,1,1,1
old,1,0,0,1,1
old,1,1,0,1,1
old,0,1,0,0,0
old,0,0,0,0,0
old,0,0,1,0,1
old,0,0,1,1,0
old,0,1,1,0,0
old,0,0,0,0,0
old,0,1,0,1,1
old,0,1,1,1,0
old,1,0,1,0,1
old,1,1,1,0,0
old,0,1,0,0,0
old,0,0,1,1,1
old,1,0,1,1,0
old,0,0,0,0,0
old,1,0,1,0,1
old,0,0,0,0,0
old,1,0,0,1,1
old,0,1,0,0,0
old,0,1,1,1,1
old,1,1,1,0,0
old,0,0,1,0,0
old,0,1,0,0,1
old,1,0,1,0,1
old,0,1,1,0,0
old,1,1,1,1,1
old,1,0,1,1,1
old,1,1,0,0,1
old,0,0,1,1,1
old,0,0,1,0,0
old,1,0,0,1,0
old,1,0,0,0,0
old,0,0,1,1,1
old,1,1,1,0,0
old,1,1,1,1,0
old,0,1,0,0,0
old,1,0,1,1,0
old,0,1,0,1,0
old,1,0,0,1,1
old,0,0,1,1,0
old,1,0,0,1,1
old,1,1,1,0,1
old,0,0,0,0,1
old,0,1,0,0,0
old,0,1,0,0,1
old,1,1,1,1,0
old,1,1,0,1,1
old,0,0,0,0,0
old,1,1,1,0,0
old,0,1,1,0,0
old,0,1,0,0,0
old,0,0,0,0,0
old,1,1,1,1,1
old,1,0,1,0,1
old,1,1,1,1,0
old,1,0,1,0,0
old,1,1,0,1,0
old,0,0,0,0,1
old,1,0,0,0,0
old,0,0,1,1,0
old,0,0,1,0,0
old,1,1,1,1,1
old,1,1,1,0,0
old,1,1,1,0,1
old,0,1,0,0,0
old,0,1,1,0,0
old,0,1,0,1,1
old,0,0,1,0,1
old,0,1,1,0,0
old,0,1,1,1,1
old,0,1,1,1,0
old,1,1,0,0,1
old,1,1,0,1,1
old,1,1,1,1,1
old,0,0,1,1,0
old,0,0,1,0,1
old,1,0,0,0,0
old,1,1,1,1,0
old,0,1,0,0,0
old,1,1,1,0,1
old,0,1,1,0,0
old,0,0,0,0,0
old,1,0,0,0,0
old,1,1,0,1,1
old,1,1,1,0,1
old,0,1,1,0,0
old,0,0,0,0,1
old,1,0,0,0,0
old,0,1,0,1,0
old,0,0,0,0,0
old,0,0,1,0,0
old,0,0,1,0,0
old,1,1,1,1,1
old,1,1,0,1,1
old,0,1,1,1,0
old,0,0,0,0,0
old,1,0,1,0,1
old,1,1,1,0,0
old,0,0,0,1,0
old,1,1,1,1,1
old,1,1,0,0,0
old,1,0,1,0,0
old,0,1,1,1,0
old,1,1,1,1,1
old,0,1,1,0,1
old,0,0,0,1,0
old,1,0,0,1,1
old,1,0,0,1,0
old,1,0,0,0,1
old,1,0,0,0,0
old,0,0,0,0,1
old,0,1,1,0,0
old,1,0,1,1,1
old,1,1,1,1,1
old,0,1,0,1,0
old,0,0,1,0,1
old,1,0,1,1,1
old,0,0,0,1,1
old,1,1,1,1,1
old,0,1,0,0,0
old,1,1,1,1,0
old,0,1,1,0,1
old,1,1,1,0,1
old,1,1,1,1,1
old,1,0,0,0,0
old,1,1,1,0,0
old,1,0,0,0,1
old,1,1,1,0,1
old,1,1,1,1,1
old,1,0,0,0,0
old,0,1,1,0,0
old,1,1,0,1,1
old,0,0,0,0,0
old,0,1,1,0,0
old,1,1,1,0,1
old,0,1,1,1,1
old,1,1,0,0,0
old,1,1,0,1,0
old,1,0,0,0,1
old,0,1,0,0,0
old,0,0,1,0,1
old,1,0,1,1,0
old,0,0,1,0,0
old,1,0,0,0,0
old,1,1,1,1,1
old,1,1,1,1,1
old,1,1,1,0,0
old,0,1,0,0,0
old,1,0,0,1,1
old,1,0,1,0,1
old,0,1,1,1,1
old,1,1,1,1,1
old,0,0,0,1,0
old,0,0,0,0,0
old,0,0,0,1,0
old,1,1,1,1,0
old,0,0,1,1,1
old,1,0,0,0,1
old,1,0,0,0,0
old,1,0,0,0,1
old,0,0,0,0,1
old,0,1,0,1,0
old,0,0,0,0,0
old,1,0,1,0,1
old,1,1,1,1,0
old,0,1,0,0,0
old,0,0,0,0,0
old,0,0,0,1,0
old,0,0,1,1,0
old,1,1,1,1,1
old,1,1,1,1,1
old,1,0,0,1,0
old,0,0,1,1,0
old,1,1,0,1,1
old,0,1,0,0,0
old,0,1,1,0,0
old,0,0,1,1,1
old,0,1,1,1,1
old,0,0,0,1,1
old,1,0,1,1,1
old,0,0,0,1,1
old,0,1,1,0,1
old,1,0,0,1,0
old,0,0,0,1,0
old,1,0,1,0,1
old,1,0,1,1,0
old,1,1,1,1,1
old,0,1,1,0,0
old,0,0,1,0,0
old,1,1,1,0,0
old,1,1,1,0,1
old,1,1,1,1,1
old,1,0,0,0,1
old,0,0,0,1,1
old,0,1,1,0,1
old,0,1,1,1,1
old,1,0,1,1,0
old,0,1,1,0,0
old,0,1,1,0,0
old,0,0,0,0,0
old,1,0,1,1,0
old,0,0,0,0,0
old,1,0,1,0,0
old,0,0,0,1,0
old,0,0,0,0,0
old,1,0,1,1,0
old,1,1,1,0,0
old,0,1,1,1,0
old,1,0,1,0,1
old,1,1,1,1,1
old,0,0,1,1,1
old,0,0,0,0,0
old,0,1,0,1,1
old,1,1,1,0,1
old,1,0,0,1,0
old,1,1,0,1,1
old,1,1,0,0,1
old,1,1,0,1,0
old,1,0,1,1,0
old,0,1,1,1,1
old,0,0,0,0,0
old,0,0,0,0,1
old,1,0,0,0,0
old,0,0,0,0,0
old,0,1,1,0,0
old,1,1,0,1,0
old,0,0,0,0,1
old,1,1,0,0,1
old,0,1,1,0,0
old,0,1,1,1,1
old,1,1,0,0,0
old,0,1,0,0,0
old,1,0,1,0,1
old,1,1,0,0,1
old,1,1,0,1,1
old,0,0,0,0,0
old,0,0,0,0,0
old,1,1,0,1,0
old,1,1,1,1,1
old,1,0,1,0,1
old,0,0,0,1,1
old,0,0,0,0,0
old,1,0,0,0,0
old,1,1,1,1,1
old,0,0,0,1,0
old,1,1,1,0,0
old,1,0,1,1,1
old,0,0,0,0,1
old,1,1,0,0,1
old,1,1,0,0,1
old,1,1,1,1,1
old,0,1,1,0,0
old,0,1,0,0,0
old,1,1,0,1,0
old,1,1,1,1,1
old,1,1,1,1,1
old,1,0,1,0,0
old,1,0,0,0,1
old,1,0,0,1,0
old,1,1,1,1,1
old,0,1,1,1,0
old,1,1,1,1,1
old,1,1,0,1,1
old,1,1,1,0,1
old,1,0,1,0,0
old,0,1,1,0,1
old,1,0,0,1,1
old,1,1,1,1,1
old,0,0,0,1,0
old,1,1,0,0,1
old,0,0,0,0,0
old,0,0,0,1,1
old,0,1,1,1,0
old,0,1,0,0,0
old,1,1,0,1,0
old,0,1,0,0,0
